CompanyName,Year_Founded,HeadQuarter,Founders,Investor,Industry,Head Quarter,Industry In,AboutCompany,Amount in ($),Funding_Round_Series
Unlu,2020,Gurugram,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal",EXPERT DOJO,,Gurugram,Celebrity Engagement,Personalised Video Shoutout from top celebrities,1000000.0,Seed
GlobalFair,2020,Gurugram,"Ashish Chandra, Shaily Garg","Saama Capital, India Quotient",,Gurugram,Trading platform,One-stop solution for all your procurement needs,2000000.0,Seed
Eduvanz,2016,Mumbai,"Atul Sashittal, Raheel Shah, Varun Chopra","InCred Financial Services, Vivriti Capital, Northern Arc Capital",,Mumbai,FinTech,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",10000000.0,Debt
Progcap,2017,New Delhi,"Pallavi Shrivastava, Himanshu Chandra","Somak Ghosh, M V Nair",,New Delhi,FinTech,Progcap is a financial service company that provides financial opportunities for micro and small businesses in the last mile.,1000000.0,Debt
ABL Workspaces,2017,New Delhi,"Ankur Gupta, Akshita Gupta",Wurk,,New Delhi,Hospitality,ABL Workspaces is a co-working space where professionals from all walks of life come to work under one roof.,600000.0,Pre-series A
SplashLearn,2018,Gurugram,"Arpit Jain, Joy Deep Nath, Mayank Jain, Umang Jain","Accel, Owl Ventures",,Gurugram,EdTech,SplashLearn is an EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five.,18000000.0,Series C
Maya,2016,Bangalore,John Paul,Rajan Anadan,,Bangalore,HealthTech,Maya enables women to keep track of their health via a mobile application.,2200000.0,Seed
MediBuddy,2000,Bangalore,"atish Kannan, Enbasekar","IDFC Private Equity, Bessemer Venture Partners",,Bangalore,HealthTech,MediBuddy is a Trusted Digital Platform for Cashless Healthcare. MediBuddy connects patients with doctors and hospitals.,40000000.0,Series B
Zetwerk,2018,Bangalore,"Amrit Acharya, Rahul Sharma, Srinath Ramakkrushnan, Vishal Chaudhary","Sequoia Capital India, Accel",,Bangalore,E-commerce,Zetwerk is an online marketplace that connects buyers and suppliers for manufacturing jobs.,120000000.0,Series D
YourPhysio,2020,Nagpur,"Dr Sheetal Mundhada, Ashutosh Mundhada","Better Capital, Titan Capital",,Nagpur,HealthTech,YourPhysio is a healthcare company on a mission to deliver 10x better patient experience in the domain of physiotherapy.,350000.0,Pre-seed
Aviom Housing Finance,2016,New Delhi,Kajal Ilmi,Gojo & Company,,New Delhi,FinTech,AVIOM India is an Affordable Housing Finance company facilitating families in mostly semi urban areas in realising their dream of owning their first home.,1000000.0,Debt
Hemp Horizons,2017,Noida,Rohit Shah,Mumbai Angels,,Noida,Cannabis startup,Cannabis and Hemp company,200000.0,Seed
Koo,2020,Bangalore,"Mayank Bidawatka, Aprameya Radhakrishna","3one4 Capital, Accel",,Bangalore,Blogging,Koo App operates as a microblogging app.,4100000.0,Series A
InnerHour,2016,Mumbai,Amit Malik,"Hitesh Oberoi, Lightbox",,Mumbai,Healthcare,InnerHour is mental health and wellness platform that provides therapy and diagnostics services and conducts online mental health workshops.,5200000.0,Series A
Origo,2010,Gurugram,"Sunoor Kaul, Mayank Dhanuka",YES Bank,,Gurugram,AgriTech,"Origo Commodities, a complete post-harvest management financial solution for agricultural commodities.",10000000.0,Debt
Elucidata,2015,New Delhi,"Abhishek Jha, Richard Kibbey, Swetabh Pathak",Hyperplane Venture Capital,,New Delhi,BioTechnology,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,5000000.0,Pre-series A
Saveo,2019,Bangalore,"Amit Kumar, Anurag Savarnya, Shivansh Shrivastava, Vivek Jaiswal","Matrix Partners India, RTP Global",,Bangalore,HealthTech,Saveo operates a business-to-business e-commerce platform focused on pharmacies.,4000000.0,Seed
DotPe,2019,Gurugram,"Anurag Gupta, Gyanesh Sharma, Shailaz Nag","Info Edge, Ruizheng Investment",,Gurugram,FinTech,"DotPe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.",8000000.0,Seed
SeeVC,2020,New Delhi,"Shivam Sood, Lark Aakarshan",Jimmy Singh,,New Delhi,Tech Startup,Leverages artificial intelligence (AI) to build products for the education sector,1000000.0,Seed
VenWiz,2020,Bangalore,"Rajesh Reddy, Sandesh Paturi","Accel, Nexus Venture",,Bangalore,B2B service,Digitising the interactions between core industry and vendors for engineering services,300000.0,Seed
Headfone,2017,Bangalore,"Pratham Khandelwal, Yogesh Sharma",Hashed,,Bangalore,Social audio,Headfone helps create and share the audio content with listeners.,3000000.0,Seed
GrowFix,2020,Bangalore,"Ajinkya Kulkarni, Abhik Patel","Zerodha's Rainmatter Capital, Better Capital",,Bangalore,FinTech,Building high-yield Debt assets for retail investors,2000000.0,Seed
Dunzo,2015,Bangalore,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund",,Bangalore,Delivery service,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,40000000.0,Series E
BeyondSkool,2020,Mumbai,Payal Gaba,Tomorrow Capital,,Mumbai,EdTech,BeyondSkool is a live upskilling platform for kids,2000000.0,Seed
Mindler,2015,New Delhi,Prateek Bhargava,"Inflection Point Ventures, DLabs",,New Delhi,EdTech,Mindler is a career counseling company that provides career development guidance counseling services for students.,1000000.0,Pre-series A
Fashinza,2020,Gurgaon,"Abhishek Sharma, Pawan Gupta","Accel Partners, Elevation Capital",,Gurgaon,B2B Manufacturing,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,2600000.0,Seed
BharatPe,2018,New Delhi,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,6000000.0,Debt
Turnip,2020,Bangalore,"Aditya Sharma, Pooja Dubey",Elevation Capital,,Bangalore,Gaming,Turnip is a live game streaming and community platform.,1600000.0,Seed
Inficold,2015,New Delhi,"Himanshu Pokharna, Nitin Goel",Shell Foundation,,New Delhi,Solar,Provide uninterrupted and affordable cooling for refrigeration,900000.0,Pre-series A
KIWI,2020,New Delhi,"Imran Ladiwala, Mishu Ahluwalia","PointOne Capital, Core91 VC",,New Delhi,TaaS startup,"A peer to peer support network, which would enable billions of users across the world",250000.0,Seed
BharatPe,2018,New Delhi,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,10000000.0,Debt
Udayy,2019,Gurgaon,"Saumya Yadav, Mahak Garg, Karan Varshney",Alpha Wave Incubation,,Gurgaon,EdTech,Interactive learning platform for kids,2500000.0,Seed
DeHaat,2012,Patna,"Shashank Kumar, Manish Kumar","Prosus Ventures, RTP Global",,Patna,AgriTech,DeHaat connects farmers to suppliers and buyers on a single platform.,30000000.0,Series C
Samunnati,2014,Chennai,Anil Kumar,"U.S. International Development Finance Corp, responsAbility",,Chennai,AgriTech,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions.,10000000.0,Debt
Biconomy,2019,New Delhi,"Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar","Binance Labs, Zee Prime Capital",,New Delhi,Blockchain startup,Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications.,1500000.0,Seed
Siply,2020,Bangalore,Sousthav Chakrabarty,Inflection Point Ventures,,Bangalore,FinTech,Siply Services operates as a micro-savings platform.,1000000.0,Seed
PurpleTutor,2019,Mumbai,"Gaurav Perti, Yatish Gupta",IvyCap Ventures,,Mumbai,EdTech,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,300000.0,Seed
Karkhana.io,2018,Mumbai,Sonam Motwani,Zone Startups In,,Mumbai,Manufacturing startup,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,1500000.0,Seed
CoinSwitch Kuber,2017,Bangalore,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Ribbit Capital, Kunal Shah",,Bangalore,Cryptocurrency,Coinswitch.co is a cryptocurrency exchange aggregator platform.,15000000.0,Series A
Infra.Market,2016,Thane,"Souvik Sengupta, Aaditya Sharda",InnoVen Capital,,Thane,E-commerce,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,6000000.0,Debt
ReadyAssist,2018,Bangalore,Vimal Singh SV,Satish Grampurohit,,Bangalore,Vehicle repair startup,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",1000000.0,Seed
Ergos,2012,Samsitpur,"Kishor Kumar Jha, Praveen Kumar","CDC Group, Aavishkaar Venture Capital",,Samsitpur,AgriTech,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,3000000.0,Series A
Toothsi,2018,Mumbai,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,,Mumbai,Healthcare,ToothSi is a new age startup in the dental space providing smile correction services at home.,5000000.0,Series A
Jumbotail,2015,Bangalore,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, 23 High Networth Individuals (HNIs)",,Bangalore,Food and Beverages,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",14300000.0,Series B3
Phi Commerce,2015,Pune,"Anil Sharma, Jose Thattil, Rajesh Londhe, Tushar Shankar","Yatra Angel Network, BEENEXT",,Pune,FinTech,"Payments Facilitator, Payments solution provider etc.",4000000.0,Series A
Finsall,2019,Bangalore,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,,Bangalore,Insuretech,Finsall provides Insurance Premium Financing,300000.0,Seed
Practically,2018,Telangana,Subbarao Siddabattula,Siana Capital,,Telangana,EdTech,"Making Learning personal, immersive and experiental",4000000.0,Pre-series B
Cred,2018,Bangalore,Kunal Shah,"DST Global, General Catalyst",,Bangalore,FinTech,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,81000000.0,Series C
Zerone,2018,Gurgaon,Jaijit Bhattacharya,Anthill Ventures,,Gurgaon,FinTech,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",1300000.0,Pre-series A
boAt,2016,Mumbai,"Aman Gupta, Sameer Mehta","InnoVen Capital, InnoVen Capita",,Mumbai,Fashion & Lifestyle,boAt is a lifestyle brand that deals in fashionable consumer electronics.,100000000.0,PE
Kyt,2020,Bangalore,"Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,,Bangalore,EdTech,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids",5000000.0,Series A
BharatPe,2018,New Delhi,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,8200000.0,Debt
CropIn,2010,Bangalore,Krishna Kumar,"Invested Development, Pratithi Investment Trust",,Bangalore,AgriTech,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,20000000.0,Series C
Vanity Wagon,2018,Haryana,Prateek Ruhail,"Dhianu Das, Agility Venture Partners",,Haryana,Cosmetics,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",200000.0,Seed
Oyo,2012,Gurgaon,Ritesh Agarwal,Hindustan Media Venture,,Gurgaon,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,7000000.0,Series F1
HobSpace,2019,Mumbai,"Priya Goel Sheth, Harsh Jain","Siddharth Bhaskar Shah, Upsparks",,Mumbai,EdTech,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,100000.0,Pre-series A1
KiranaKart,2020,Mumbai,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,,Mumbai,E-commerce,A better model for instant grocery delivery in India.,720000.0,Pre-seed
Meddo,2018,Gurgaon,Saurabh Kochhar,"growX ventures, Venture Gurukool",,Gurgaon,Healthcare,Meddo is an end-to-end medical services provider,3000000.0,Pre-series A
SP Robotic Works,2012,Chennai,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,,Chennai,EdTech,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,3000000.0,Series A
3SC,2018,Gurugram,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,,Gurugram,Logistics,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,15000000.0,Series B
Minimalist,2020,Jaipur,"Mohit, Rahul Yadav",Sequoia Capital,,Jaipur,Cosmetics,Affordable skincare for all,10000000.0,Series A
90+ My Tuition App,2015,Bangalore,Vingish Vijay,Pearl Investment LLC,,Bangalore,EdTech,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,5000000.0,Series A
Wasabi,2021,Bangalore,"Pradeep Dodle, Nikhil Goenka","021 Capital, Sparrow Capital",,Bangalore,Consulting,Help small businesses grow their sales via our customer interaction and growth platform.,1800000.0,Seed
Strata,2019,Bangalore,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",,Bangalore,Real Estate,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,6000000.0,Series A
Ourbetterplanet,2020,Bangalore,Pallavi Srivastava,VANS Group,,Bangalore,E-commerce,A curated online marketplace for all things sustainable!,300000.0,Seed
Murf.ai,2020,Bangalore,"Sneha Roy, Ankur Edkie, Divyanshu Pandey",Elevation Capital,,Bangalore,SaaS startup,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.",1500000.0,Seed
MYFITNESS,2019,Silvassa,"Mohammad Patel, Rahil Virani",9Unicorns,,Silvassa,Fitness,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.",1000000.0,Seed
I am Love,2020,Mumbai,Shilpa Rathi,Xentel Investments,,Mumbai,Healthcare,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",4000000.0,Seed
Eloelo,2015,Bangalore,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",,Bangalore,Gaming,Creator-led Social Gaming & Live Streaming Platform,2000000.0,Pre-series A
Edukemy,2020,Noida,Chandrahas Panigrahi,"Auxano, Falcon5",,Noida,EdTech,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",2000000.0,Pre-series A
Zingbus,2019,Gurugram,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,,Gurugram,Mobility,Zingbus is a renowned brand in the bus operating industry.,5000000.0,Pre-series A
NewsReach,2018,Ahmedabad,"Soniya Kundnani, Darshan Shah",JITO Angel Network,,Ahmedabad,Media,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,300000.0,Seed
Pencilton,2017,Hyderabad,"VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,,Hyderabad,FinTech,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.",330000.0,Pre-seed
The Whole Truth,2019,Mumbai,Shashank Mehta,Sequoia Capital,,Mumbai,Food & Beverages,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",6000000.0,Series A
Insane AI,2021,Bangalore,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,,Bangalore,Fitness,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,800000.0,Seed
Go Swift,2019,Bangalore,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,,Bangalore,Consumer Services,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,2000000.0,Pre-series A
G.O.A.T,2021,Bangalore,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures",,Bangalore,D2C,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,36000000.0,Series A
ReDesyn,2016,Mumbai,"Smriti Dubey, Shikhar Vaidya",Anthill Ventures,,Mumbai,Merchandise,"Merchandise drop-shipping platform for influencers, designers, creators & brands.",300000.0,Pre-series A
Knorish,2016,Gurugram,"Rakhi Wadhwa, Kinner N Sacchdev","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",,Gurugram,EdTech,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities",1000000.0,Pre-series A
Dozee,2015,Bangalore,"Mudit Dandwate, Dandwate",Prime VP,,Bangalore,Healthcare,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.",5000000.0,Series A
BlackBuck,2015,Bangalore,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF",,Bangalore,Logistics & Supply Chain,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,67000000.0,Series E
Mailmodo,2020,Bangalore,"Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoia’s Surge, Y Combinator",,Bangalore,Marketing & Advertising,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,2000000.0,Seed
NirogStreet,2018,New Delhi,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",,New Delhi,Healthcare,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,2500000.0,Series A
Even,2020,Bangalore,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,,Bangalore,Healthcare,One monthly subscription to cover all your healthcare needs.,5000000.0,Seed
Captain Fresh,2019,Bangalore,Utham Gowda,"Accel Partners, Matrix India",,Bangalore,Logistics,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,12000000.0,Series A
Otipy,2020,Gurugram,Varun Khurana,"Omidyar Network India, Innoven Capital",,Gurugram,Food & Beverages,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,10200000.0,Series A
Edvizo,2017,Bangalore,Ravi Nishant,Inflection Point Ventures,,Bangalore,Consumer Services,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",1000000.0,Pre-series A
GlobalBees,2021,New Delhi,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",,New Delhi,D2C Business,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,150000000.0,Series A
Spinny,2015,Gurugram,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,,Gurugram,Automotive,Spinny is a new age used car end-to-end platform in India.,108000000.0,Series D
Mynvax,2017,Bangalore,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd",,Bangalore,Biotechnology,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,4000000.0,Series A
Uvi Health,2020,Bangalore,Mehak Malik,Titan Capital,,Bangalore,Healthcare,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,330000.0,Pre-seed
HealthifyMe,2012,Bangalore,"Tushar Vashisht, Sachin Shenoy","LeapFrog, Khosla Ventures",,Bangalore,Healthcare,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,75000000.0,Series C
Sea6 Energy,2010,Bangalore,"Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark,,Bangalore,Biotechnology,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.",9000000.0,Series B
Beco,2018,Mumbai,"Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,,Mumbai,Consumer Goods,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.",500000.0,Seed
MedPay,2020,Bangalore,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",,Bangalore,Information Technology,MedPay® is building the real-time claims adjudication platform for health insurers.,1200000.0,Seed
Digantara,2018,Bangalore,"Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital,,Bangalore,SpaceTech,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage",2500000.0,Seed
Aqgromalin,2018,Chennai,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,,Chennai,AgriTech,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,700000.0,Seed
Ola Electric,2017,Bangalore,Bhavish Aggarwal,Bank of Baroda,,Bangalore,Automotive,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,100000000.0,Debt
Trell,2016,Bangalore,"Pulkit Agarwal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Mirae Asset, H&M",,Bangalore,Social commerce,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,45000000.0,Series B
EasyAspataal,2020,Mumbai,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,,Mumbai,Healthcare,India’s First Digital Admission Desk for Hospitalisation.,500000.0,Seed
Arcana,2019,Bangalore,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,,Bangalore,Information Technology,Arcana is the Storage Layer of Ethereum.,370000.0,Seed
Aquaconnect,2017,Chennai,Rajamanohar,"Rebright Partners, Flourish Ventures",,Chennai,Fishery,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,4000000.0,Pre-series A
LetsDressUp,2019,Gurugram,Aditya B,"Titan Capital, Sequoia Capital",,Gurugram,Apparel & Fashion,Building India's version of Stitch Fix,300000.0,Pre-series A
Ati Motors,2017,Bangalore,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",,Bangalore,Automotive,Autonomous industrial vehicle maker,35000000.0,Pre-series A
peAR,2018,Mumbai,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",Inflection Point Ventures,,Mumbai,Deeptech,An AR / VR tech based Start-up in Mumbai.,300000.0,Pre-series A1
FRAAZO,2020,Mumbai,"Atul Kumar, Aashish Krishnatre","Sixth Sense Ventures, NABVENTURES",,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,11000000.0,Series A
Licious,2015,Bangalore,"Abhay Hanjura, Vivek Gupta","Temasek, Multiples PE",,Bangalore,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.",192000000.0,Series F
WinZO,2018,New Delhi,Paavan Nanda,Griffin Gaming Partners,,New Delhi,Gaming,WinZO is the largest social gaming and entertainment platform in India.,65000000.0,Series C
Skylark Drones,2014,Bangalore,Mughilan Thiru Ramasamy,"InfoEdge Ventures, IAN Fund",,Bangalore,Aviation,"Enterprise drone solutions that help plan, build, and sustain the world we live in.",3000000.0,Pre-series A
MyMobiForce,2018,Noida,"Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",Bharat Inclusion,,Noida,Internet,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India",1400000.0,Pre-series A
Neverinstall,2019,Bangalore,"Lakshmana Pasala, Ram Pasala",Speciale Invest,,Bangalore,Information Technology,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,370000.0,Seed
BeatO,2015,New Delhi,Gautam Chopra,W Health Ventures,,New Delhi,Healthcare,ULTIMATE app to manage chronic conditions.,5000000.0,Pre-series B
Earth Rhythm,2020,Gurugram,Harini Sivakumar,Anicut Angel Fund,,Gurugram,Cosmetics,A mission to make customers healthier and Earth a little greener.,1200000.0,Seed
Fountain9,2019,Mumbai,"Niki Khokale, Rajas Lonkar","021 Capital, Y Combinator",,Mumbai,Computer software,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.",1900000.0,Seed
Shiprocket,2012,New Delhi,"Saahil Goel, Akshay Ghulati","March Capital, Tribe Capital",,New Delhi,Logistics,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,41000000.0,Series D1
Teachmint,2020,Bangalore,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital,,Bangalore,EdTech,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,20000000.0,Pre-series B
Vahak,2017,Bangalore,"Vikas Chandrawat, Karan Shaha",RTP Global,,Bangalore,Transportation,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,5000000.0,Pre-series A
goSTOPS,2014,New Delhi,"Pallavi Agarwal, Pankaj Parwanda","IAN, Yuj Ventures",,New Delhi,Hospitality,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,1000000.0,Pre-series A
Delhivery,2011,Gurugram,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC",,Gurugram,Logistics,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.",270000000.0,Series H
Avishkaar,2014,New Delhi,"Rajeev Gaba, Tarun Bhalla",Auxano,,New Delhi,EdTech,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,600000.0,Pre-series A
Jobsgaar,2020,New Delhi,Atul Pratap Singh,SucSEED Indovation Fund,,New Delhi,Job discovery platform,India's first District level/ Hyper Local Job discovery platform,140000.0,Seed
Breathe Well-being,2015,New Delhi,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal",,New Delhi,HealthCare,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,1000000.0,Pre-series A
Urban Company,2014,New Delhi,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Vy Capital, Wellington Management",,New Delhi,Home services,Urban Company is an India-based company providing a marketplace for freelance labor.,250000000.0,Series F
MYBYK,2014,Ahmadabad,Arjit Soni,Avon Cycles,,Ahmadabad,Rental,MYBYK is an app that provides premium bicycle sharing and rental service.,1000000.0,Pre-series A
Locus,2015,Bangalore,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners",,Bangalore,Logistics,Locus is an intelligent decision-making and automation platform for logistics.,50000000.0,Series C
Crejo.Fun,2020,Bangalore,Vikas Bansal,"Matrix Partners India, 021 Capital",,Bangalore,EdTech,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,3000000.0,Seed
Bambinos,2020,Bangalore,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",,Bangalore,EdTech,Cohort based extracurricular course for kids,500000.0,Seed
Spardha,2016,Pune,"Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures,,Pune,EdTech,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.",400000.0,Pre-series A1
Fyllo,2019,Bangalore,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels",,Bangalore,AgriTech,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,400000.0,Seed
Swiflearn,2019,Gurugram,"Abhinav Agarwal, Anand Bakode","Venture Highway, Stellaris Venture Partners",,Gurugram,EdTech,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,3000000.0,Pre-series A
QuickSell,2017,Mumbai,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain",,Mumbai,E-commerce,B2B Mobile Commerce Platform,2000000.0,Pre-series A
Truemeds,2019,Mumbai,"Akshat Nayyar, Kunal Wani",InfoEdge,,Mumbai,Heathcare,Truemeds is a health-tech startup.,5000000.0,Series A
