Industry In,deals,total_funding,average_funding,median_funding
Virtual Banking,1,2100000.0,2100000.0,2100000.0
Dating,2,2010000.0,1005000.0,1005000.0
Eyewear,1,2000000.0,2000000.0,2000000.0
E-connect,1,2000000.0,2000000.0,2000000.0
"Artificial Intelligence, Human Resources, Information Services, Information Technology",1,2000000.0,2000000.0,2000000.0
"Hospitality, Real Estate",1,2000000.0,2000000.0,2000000.0
"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",1,2000000.0,2000000.0,2000000.0
"Information Services, Information Technology, Mobile, Software",1,2000000.0,2000000.0,2000000.0
"Logistics, Supply Chain Management",1,2000000.0,2000000.0,2000000.0
"Big Data, Financial Services, Machine Learning, Predictive Analytics",1,2000000.0,2000000.0,2000000.0
"Automotive, E-Commerce, Marketplace",1,2000000.0,2000000.0,2000000.0
"Automotive, Marketplace, Online Portals",1,2000000.0,2000000.0,2000000.0
"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",1,2000000.0,2000000.0,2000000.0
Ayurveda tech,1,2000000.0,2000000.0,2000000.0
PaaS startup,1,2000000.0,2000000.0,2000000.0
Trading platform,1,2000000.0,2000000.0,2000000.0
Design,1,2000000.0,2000000.0,2000000.0
"E-Commerce, Mobile, Retail",1,2000000.0,2000000.0,2000000.0
Deep Tech,2,1900000.0,950000.0,950000.0
Consumer,1,1800000.0,1800000.0,1800000.0
Aeorspace,1,1800000.0,1800000.0,1800000.0
Advertisement,1,1800000.0,1800000.0,1800000.0
"Crowdfunding, Finance, Financial Services",2,1800000.0,900000.0,900000.0
"Cooking, E-Commerce, Food and Beverage, Food Delivery, Online Portals",1,1760000.0,1760000.0,1760000.0
"Apps, Messaging, Navigation, Public Safety",1,1700000.0,1700000.0,1700000.0
Medtech,2,1700000.0,850000.0,850000.0
"Manufacturing, Oil and Gas, Robotics",1,1682400.0,1682400.0,1682400.0
"Banking, Financial Services, FinTech",1,1680000.0,1680000.0,1680000.0
"Information Technology, SaaS, Security",1,1680000.0,1680000.0,1680000.0
Maritime,1,1600000.0,1600000.0,1600000.0
